 Output file produced by H2NEWD.FOR
100 eV, 300 K, 0.7 ISO, 2e13 new self-abs                   
 .10121690D+04  .25211E+01  .39375E-10  2( 0, 0)P C-X  .54822E-02
 .10085510D+04  .39210E+01  .61457E-10  0( 0, 0)R C-X  .43983E-01
 .10564760D+04  .61257E+01  .91657E-10  2( 0, 1)P C-X  .14486E-01
 .10527320D+04  .10588E+02  .15899E-09  0( 0, 1)R C-X  .12431E+00
 .11019790D+04  .56163E+01  .80565E-10  2( 0, 2)P C-X  .14450E-01
 .10981150D+04  .10806E+02  .15556E-09  0( 0, 2)R C-X  .13804E+00
 .11485350D+04  .25325E+01  .34857E-10  2( 0, 3)P C-X  .70782E-02
 .11445610D+04  .54958E+01  .75905E-10  0( 0, 3)R C-X  .76270E-01
 .11959380D+04  .64082E+00  .84703E-11  2( 0, 4)P C-X  .19419E-02
 .11918700D+04  .14113E+01  .18718E-10  0( 0, 4)R C-X  .21239E-01
 .12439070D+04  .99298E-01  .12619E-11  2( 0, 5)P C-X  .32553E-03
 .12397690D+04  .16009E+00  .20412E-11  0( 0, 5)R C-X  .26066E-02
 .12920710D+04  .50998E-02  .62394E-13  2( 0, 6)P C-X  .18039E-04
 .12878910D+04  .76036E-02  .93328E-13  0( 0, 6)R C-X  .13360E-03
 .13399330D+04  .75430E-03  .88989E-14  2( 0, 7)P C-X  .28694E-05
 .13357520D+04  .10010E-02  .11846E-13  0( 0, 7)R C-X  .18920E-04
 .13868520D+04  .70891E-04  .80804E-15  2( 0, 8)P C-X  .28889E-06
 .13827250D+04  .44106E-04  .50423E-15  0( 0, 8)R C-X  .89333E-06
 .14320010D+04  .10992E-02  .12134E-13  2( 0, 9)P C-X  .47756E-05
 .14280000D+04  .54055E-03  .59838E-14  0( 0, 9)R C-X  .11677E-04
 .14743320D+04  .12152E-04  .13030E-15  2( 0,10)P C-X  .55966E-07
 .14705530D+04  .18418E-07  .19799E-18  0( 0,10)R C-X  .42194E-09
 .15125390D+04  .85919E-03  .89796E-14  2( 0,11)P C-X  .41646E-05
 .15090930D+04  .47957E-03  .50236E-14  0( 0,11)R C-X  .11570E-04
 .15449780D+04  .42210E-03  .43189E-14  2( 0,12)P C-X  .21347E-05
 .15420220D+04  .17591E-03  .18033E-14  0( 0,12)R C-X  .44311E-05
 .15696350D+04  .11062E-02  .11141E-13  2( 0,13)P C-X  .57744E-05
 .15673800D+04  .34140E-03  .34432E-14  0( 0,13)R C-X  .88850E-05
 .10145040D+04  .71546E+01  .11148E-09  3( 0, 0)P C-X  .82240E-02
 .10084970D+04  .68065E+01  .10669E-09  1( 0, 0)R C-X  .20579E-01
 .10588230D+04  .17286E+02  .25807E-09  3( 0, 1)P C-X  .21595E-01
 .10526080D+04  .20492E+02  .30774E-09  1( 0, 1)R C-X  .59034E-01
 .11043230D+04  .15517E+02  .22212E-09  3( 0, 2)P C-X  .21086E-01
 .10979110D+04  .21556E+02  .31036E-09  1( 0, 2)R C-X  .67558E-01
 .11508570D+04  .67354E+01  .92516E-10  3( 0, 3)P C-X  .99406E-02
 .11442640D+04  .11428E+02  .15787E-09  1( 0, 3)R C-X  .38904E-01
 .11982130D+04  .16599E+01  .21899E-10  3( 0, 4)P C-X  .26556E-02
 .11914680D+04  .30064E+01  .39888E-10  1( 0, 4)R C-X  .11097E-01
 .12461070D+04  .27721E+00  .35167E-11  3( 0, 5)P C-X  .47966E-03
 .12392460D+04  .31241E+00  .39851E-11  1( 0, 5)R C-X  .12475E-02
 .12941580D+04  .16734E-01  .20440E-12  3( 0, 6)P C-X  .31230E-04
 .12872320D+04  .11335E-01  .13920E-12  1( 0, 6)R C-X  .48834E-04
 .13418610D+04  .40417E-02  .47614E-13  3( 0, 7)P C-X  .81094E-05
 .13349390D+04  .46224E-02  .54736E-13  1( 0, 7)R C-X  .21418E-04
 .13885620D+04  .72349E-03  .82365E-14  3( 0, 8)P C-X  .15544E-05
 .13817360D+04  .83375E-03  .95386E-14  1( 0, 8)R C-X  .41387E-05
 .14334250D+04  .55289E-02  .60973E-13  3( 0, 9)P C-X  .12659E-04
 .14268130D+04  .33978E-02  .37645E-13  1( 0, 9)R C-X  .17985E-04
 .14753840D+04  .27886E-05  .29878E-16  3( 0,10)P C-X  .67639E-08
 .14691410D+04  .10394E-03  .11184E-14  1( 0,10)R C-X  .58329E-06
 .15131030D+04  .46858E-02  .48954E-13  3( 0,11)P C-X  .11954E-04
 .15074290D+04  .35737E-02  .37476E-13  1( 0,11)R C-X  .21114E-04
 .15449150D+04  .18716E-02  .19150E-13  3( 0,12)P C-X  .49776E-05
 .15400730D+04  .83934E-03  .86153E-14  1( 0,12)R C-X  .51761E-05
 .15687600D+04  .60933E-02  .61400E-13  3( 0,13)P C-X  .16710E-04
 .15651020D+04  .17487E-02  .17662E-13  1( 0,13)R C-X  .11137E-04
 .10173850D+04  .10453E+01  .16242E-10  4( 0, 0)P C-X  .98696E-02
