element	sp_num	obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
N	3	""	"50.0924"	""	"4.89e+08"	B	"203074.6"	"402705.6"	"2p3"	"2D*"	"5/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T7192LS"	""	
N	3	""	"50.0960"	""	"5.43e+07"	B	"203088.9"	"402705.6"	"2p3"	"2D*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T7192LS"	""	
N	3	""	"50.1163"	""	"5.42e+08"	B	"203088.9"	"402624.6"	"2p3"	"2D*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"		"T7192LS"	""	
N	2	""	"50.5986"	""	"4.51e+09"	C+	"46784.6"	"244418.52"	"2s.2p3"	"5S*"	"2"	"2s.2p2.(4P).3d"	"5P"	"1"		"T5520LS"	""	
N	2	""	"50.6054"	""	"4.51e+09"	C+	"46784.6"	"244391.88"	"2s.2p3"	"5S*"	"2"	"2s.2p2.(4P).3d"	"5P"	"2"		"T5520LS"	""	
N	2	""	"50.6153"	""	"4.51e+09"	C+	"46784.6"	"244353.31"	"2s.2p3"	"5S*"	"2"	"2s.2p2.(4P).3d"	"5P"	"3"		"T5520LS"	""	
N	3	""	"50.7906"	""	"1.09e+09"	B	"145875.7"	"342762.5"	"2s.2p2"	"2P"	"1/2"	"2s.2p.(3P*).3d"	"2P*"	"1/2"		"T7192LS"	""	
N	3	""	"50.8089"	""	"2.73e+08"	B	"145875.7"	"342691.5"	"2s.2p2"	"2P"	"1/2"	"2s.2p.(3P*).3d"	"2P*"	"3/2"		"T7192LS"	""	
N	3	""	"50.8190"	""	"5.46e+08"	B	"145985.8"	"342762.5"	"2s.2p2"	"2P"	"3/2"	"2s.2p.(3P*).3d"	"2P*"	"1/2"		"T7192LS"	""	
N	3	""	"50.8374"	""	"1.36e+09"	B	"145985.8"	"342691.5"	"2s.2p2"	"2P"	"3/2"	"2s.2p.(3P*).3d"	"2P*"	"3/2"		"T7192LS"	""	
N	2	""	"50.8484"	""	"6.47e+07"	B	"48.7"	"196711.54"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4s"	"3P*"	"2"		"T6385n"	""	
N	2	""	"50.8668"	""	"8.45e+07"	B	"0.0"	"196592.07"	"2s2.2p2"	"3P"	"0"	"2s2.2p.4s"	"3P*"	"1"		"T6385n"	""	
N	2	""	"50.8697"	""	"1.91e+08"	B	"130.8"	"196711.54"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4s"	"3P*"	"2"		"T6385n"	""	
